PLANNAME,EW2016,STATUS1,STATUS2,STATUS3,STATUS4,DYNAMO1,DYNAMO2,DYNAMO3,DYNAMO4
Stülerstraße,3114,4.98,1.52,8.16,20.51,-0.19,0.14,-0.42,-0.75
Großer Tiergarten,192,,,,,,,,
Lützowstraße,5518,6.83,2.08,17.74,34.33,-0.5,-0.03,-0.8,-7.74
Körnerstraße,4704,6.27,1.49,20.66,45.91,-1.33,-0.76,-1.66,-3.77
Nördlicher Landwehrkanal,1135,2.06,0,1.5,3.55,-0.77,-0.74,-0.42,-0.71
Wilhelmstraße,2190,3.64,0.89,8.45,27.31,-1.23,-0.59,0.13,0.17
Unter den Linden Nord,608,1.97,0,1.81,6.67,-0.13,0,0.2,0.54
Unter den Linden Süd,1004,3.98,1.46,3.59,10.34,0.85,0.27,0.26,0.77
Leipziger Straße,7463,3.91,1.61,7.2,21.34,-1.13,0.27,0.21,-4.57
Charitéviertel,6431,2.57,0.39,3.23,5.06,-0.56,-0.33,-0.05,0.3
Oranienburger Straße,12535,3.99,0.91,6.11,11.24,-0.61,-0.14,-0.47,-1.01
Alexanderplatzviertel,9536,5.18,1.41,8.62,20.49,-0.85,-0.33,-0.76,-1.91
Karl-Marx-Allee,8607,6.4,1.74,13.56,42.32,-0.52,-0.83,0.23,2.17
Heine-Viertel West,7617,4.54,1.01,7.19,20.3,-0.25,-0.26,-0.41,-4.7
Heine-Viertel Ost,9530,5.04,1.26,8.21,21.77,-1.33,-0.35,-0.68,-5.6
Invalidenstraße,16331,3.45,0.73,4.75,7.27,-0.7,-0.18,-0.53,-1.13
Arkonaplatz,13341,3.57,0.7,3.33,3.96,-0.63,-0.11,-0.82,-1.24
Huttenkiez,3522,12.8,3.29,27.29,68.17,2.03,-0.68,3.83,3.87
Beusselkiez,6374,10.85,3.84,24.65,57.12,-0.74,0.14,-0.28,-3.1
Westhafen,258,,,,,,,,
Emdener Straße,18377,7.79,2.6,18.49,43.62,-1.82,-0.64,-0.83,-5.41
Zwinglistraße,5299,8.87,2.23,23.87,58.13,-0.65,-0.53,-1.4,-7.59
Elberfelder Straße,11799,4.87,1.3,9.56,16.25,-2.01,-0.38,-1.25,-4.02
Stephankiez,11292,6.41,1.67,17.32,36.44,-1.55,-0.54,-0.82,-5.85
Heidestraße,1488,10.32,3.34,28.9,51.56,-2.32,0.04,0.24,0.62
Lübecker Straße,6969,9.28,2.62,26.2,54.53,-0.99,-0.39,0.3,-1.15
Thomasiusstraße,5824,5.56,1.34,11.23,20.84,-1.1,-0.43,-0.15,-0.51
Zillesiedlung,3311,9.43,2.68,25.04,37.46,0.36,0.27,-0.38,-8.44
Lüneburger Straße,3027,5.2,1.09,11.03,18.54,-1.24,-0.36,-2.17,-7.1
Hansaviertel,5630,3.48,0.97,8.45,17.6,-1.93,-0.56,-1.24,-7.74
Soldiner Straße,26841,10.65,3.16,32.68,68.8,-1.99,-1.03,0.28,-0.43
Gesundbrunnen,11837,9.14,2.47,29.18,64.27,-1.49,-0.44,0.33,-0.02
Brunnenstraße,13361,9.83,2.82,31.67,58.6,-1.3,-0.78,-1.76,-4.64
Humboldthain Süd,9726,8.84,2.45,23.97,50.97,-1.26,-0.51,-0.14,-4.02
Humboldthain Nordwest,14478,10.56,3.33,31.9,68.81,-1.87,-0.27,-0.12,-1.02
Rehberge,20722,8.68,2.93,21.07,52.69,-1.69,-0.69,-0.11,-1.44
Schillerpark,16238,8.06,2.41,18.99,51.49,-1.52,-0.72,0.09,-0.97
Westliche Müllerstraße,8589,8.85,2.76,20.51,51.43,-1.05,-0.4,1.16,-1.74
Reinickendorfer Straße,23424,10.8,3.11,32.44,70.31,-1.99,-0.83,-0.6,-2.29
Sparrplatz,16703,8.79,3.02,21.34,56.02,-1.06,-0.35,0.36,-2.48
Leopoldplatz,16462,10.28,3.03,28.85,64.73,-1.41,-0.56,0.43,-1.89
Askanischer Platz,6481,9.27,2.81,24.76,44.43,-2.22,-1.24,-2.27,-14.45
Mehringplatz,13278,11.78,3.99,32.47,61.58,-1.74,-1.33,-1.16,-2.55
Moritzplatz,15593,13.04,4.69,35.03,66.17,-2.64,-1.44,-2.12,-5.99
Wassertorplatz,5044,11.77,3.93,34.75,67.48,-1.44,-0.79,-0.74,-3.04
Gleisdreieck/Entwicklungsgebiet,911,2.81,0.56,3.62,7.28,-4.49,-2.18,-4.12,-3.58
Rathaus Yorckstraße,5990,6.44,1.7,13.49,24.5,-0.72,-0.93,-0.27,0.35
Viktoriapark,10886,5.42,1.63,10.96,20.84,-1.18,-0.22,-0.74,-3.25
Urbanstraße,12326,5.61,1.51,12.32,21.72,-0.99,-0.58,-0.47,-3.97
Chamissokiez,14892,5.63,1.53,11.52,20.89,-1.3,-0.53,-0.85,-3.05
Graefekiez,19052,7.16,2.27,16.64,30.37,-0.86,-0.35,-0.71,-6.04
Oranienplatz,9092,10.57,3.49,27.87,53.69,-1.25,-0.68,-1.24,-4.25
Lausitzer Platz,13166,8.93,2.78,21.87,40.74,-1.58,-0.75,-1.71,-5.57
Reichenberger Straße,15156,7.31,2.2,17.9,34.73,-1.46,-0.62,-0.74,-5.29
Wrangelkiez,11083,7.47,2.17,17.37,30.93,-0.91,-0.72,-0.55,-7.33
Barnimkiez,5381,7.66,2.95,13.03,35.02,-1.43,-0.19,-0.78,-8.66
Friedenstraße,7181,5.92,1.66,9.72,26.22,-1.16,-0.47,-0.87,-4.7
Richard-Sorge-Viertel,10976,4.87,1.29,7.76,16.21,-0.5,-0.18,0.37,0.88
Andreasviertel,12331,5.9,1.69,13.86,40.5,-0.91,-0.39,0.02,-4.08
Weberwiese,10714,5.22,1.48,6.48,10.63,-0.74,-0.02,-1.29,-3.78
Wriezener Bahnhof/Entwicklungsgebiet,1145,7.24,0.76,23.41,66.67,-0.81,-1.88,0.83,9.52
Hausburgviertel,8900,6.38,1.76,10.02,18.71,-1.03,-0.34,-0.25,-3.83
Samariterviertel,21064,5.55,1.51,9.36,14.72,-1.65,-0.43,-0.68,-2.71
Traveplatz,19093,6.27,1.74,12.04,23.65,-1.01,-0.3,0.06,-3.59
Boxhagener Platz,20431,5,1.26,7.32,11.17,-0.97,-0.3,-0.6,-3.09
Stralauer Kiez,6986,6.29,1.82,9.63,20.97,-0.77,-0.24,-1.57,-8.32
Stralauer Halbinsel,4171,2.85,0.54,3.07,2.51,0.03,-0.16,-0.27,-1.63
Bucher Forst,3928,5.64,2.17,9.11,16.05,-2.13,-0.36,-0.08,-0.29
Buch,11685,7.92,3.1,16.49,41.03,-1.98,-0.84,0.06,-2.86
Lietzengraben,227,,,,,,,,
Blankenfelde,2116,4.77,1.54,3.83,7.51,-0.83,-1.07,0.4,-0.65
Niederschönhausen,14726,3.39,1.02,4.8,6.69,-0.75,-0.39,-0.67,-1.74
Herthaplatz,11132,3.85,1.45,6.28,11.01,-1.07,-0.33,0.44,1.54
Buchholz,17930,3.25,1.14,5.84,10.69,-1.24,-0.43,-0.68,-2.07
Karow Nord,10986,3.92,1.32,9.17,18.35,-1.08,-0.36,-0.32,-1.12
Alt-Karow,8245,2.56,0.88,2.21,3.71,-0.48,-0.12,-0.12,-0.78
Blankenburg,6810,2.34,0.78,2.13,3.27,-0.71,-0.35,-0.55,-0.99
Heinersdorf,7388,4.35,1.2,5.54,9.58,0.39,-0.42,1.24,0.82
Märchenland,1138,4.2,1.2,2.64,9.32,0.48,0.31,0.42,3.38
Rosenthal,4530,2.43,0.94,4.75,9.7,-1.01,-0.33,-1.14,-2.31
Wilhelmsruh,9783,3.31,0.99,4.95,8.94,-1.41,-0.79,-0.23,-0.68
Schönholz,3412,3.03,1.26,3.55,3.28,-0.85,-0.23,0.63,0.84
Pankow Zentrum,35308,4.68,1.59,7.07,11.23,-1.33,-0.48,-0.93,-2.89
Pankow Süd,34314,5.13,1.83,8.22,15.21,-1.34,-0.29,-0.61,-3.17
Gustav-Adolf-Straße,5564,6.65,1.86,10.23,21.25,0.43,-0.11,1.3,2.52
Weißer See,7397,4.83,1.53,7.12,13.81,-1.13,-0.73,-1.13,-1.34
Weißenseer Spitze,9098,5.93,2.16,9.23,14.39,-2.28,-1.27,-0.97,-3.03
Behaimstraße,5883,7.69,2.59,12.29,20.47,-2.14,-0.93,0.94,0.1
Komponistenviertel Weißensee,9468,5.24,1.65,8.87,13.69,-1.38,-0.74,-1.01,-2.67
Rennbahnstraße,4247,5.89,1.63,9.8,19.38,-0.64,-0.54,-0.2,-2.06
Buschallee,6503,7.53,2.75,10.98,31.12,-1.34,-0.64,0.14,1.17
Hansastraße,4527,5.14,2.13,10.18,30.1,-1.18,-0.65,-0.93,-5.59
Arnimplatz,15187,5.15,1.63,7.05,9.63,-1.04,-0.26,-0.44,-1.2
Falkplatz,10521,4.87,1.39,5.15,5.81,-0.97,-0.29,-0.62,-1
Humannplatz,14520,4.58,1.1,5.92,8.34,-1.48,-0.64,-0.99,-4.47
Erich-Weinert-Straße,12619,6.04,2.22,9.23,19.88,-1.4,-0.25,-0.56,-4.02
Helmholtzplatz,22519,5.14,1.44,6.47,8.07,-0.9,-0.45,-0.65,-1.88
Greifswalder Straße,10082,8.25,3.19,11.47,39.22,-0.82,-0.63,0.34,0.74
Volkspark Prenzlauer Berg,3921,7.99,4.24,10.74,17.11,-5.1,-0.48,-2.09,-13.03
Anton-Saefkow-Park,6238,5.95,1.91,7.69,10.13,-1.08,-0.48,-1.4,-5.07
Conrad-Blenkle-Straße,3875,6.52,2.23,11.87,29.42,-2.93,-1.29,-1.5,-4.45
Eldenaer Straße,2560,2.32,0.31,1.09,0.69,0.21,-0.1,0.24,-0.05
Teutoburger Platz,10747,4.04,1.29,4.83,7.46,-0.84,-0.14,-0.96,-2.25
Kollwitzplatz,15635,4.25,1.24,4.74,6.05,-0.64,-0.24,-0.9,-1.74
Thälmannpark,3010,7.55,2.84,13.39,21.98,-2.49,-0.58,-0.65,-2.14
Winsstraße,17260,4.44,1.12,5.63,8.42,-0.9,-0.56,-0.52,-1.61
Bötzowstraße,12367,4.25,1.21,5.34,6.43,-1.02,-0.35,-0.98,-1.29
Jungfernheide,11043,9.84,3.88,19.81,45.55,-2.02,-1.08,-0.26,-10.88
Plötzensee,895,5.76,1.97,12.29,45.83,-1.61,-0.74,4.13,4.92
Paul-Hertz-Siedlung,7771,11.58,4.13,25.84,56.75,-0.06,-0.67,0.4,0.52
Olympiagelände,199,,,,,,,,
Siedlung Ruhleben,1329,2.53,0.48,2.41,5.42,-0.37,0.09,0.35,0.51
Angerburger Allee,2754,3.73,1.16,5.27,17.56,-1.39,-0.72,-0.07,-1.9
Flatowallee,2532,2.34,0.51,3.08,7.58,-0.83,-0.35,0.18,1.97
Kranzallee,2878,2.18,0.81,3.37,3.54,-1.06,-0.35,-0.21,-1.28
Eichkamp,3189,1.01,0.14,1.44,3.26,0.11,0.14,0.58,1.43
Park Ruhwald,602,1.53,0.87,4.98,11.43,-0.63,-0.42,1.65,11.43
Reichsstraße,14756,4.02,1.4,5.37,10.57,-0.55,-0.48,-0.19,-1.51
Branitzer Platz,5467,3.48,1.06,6.13,9.64,-1.08,-0.41,1.24,2.04
Königin-Elisabeth-Straße,7530,5.9,1.81,8.99,24.15,0.6,0.04,0.06,1.86
Messegelände,436,,,,,,,,
Schloßgarten,2837,9.17,4.08,19.03,43.35,-1.59,-0.39,-0.24,-5.9
Klausenerplatz,10655,7.22,2.85,15.44,28.61,-0.68,-0.16,-1.08,-0.41
Schloßstraße,10927,5.44,1.85,10.05,20.03,-0.26,-0.19,0.32,2.06
Tegeler Weg,9417,7.49,2.62,13.57,34.54,-0.6,-0.44,-0.19,1.83
Kaiserin-Augusta-Allee,5734,6.4,3.19,14.48,37.41,-1.8,0.01,-0.26,-6.56
Alt-Lietzow,8597,5.69,2.2,11.67,26.67,-1.05,-0.45,-1,-2.77
Spreestadt,3021,7.88,2.81,14.1,35.91,0.26,-0.53,-0.68,-0.55
Richard-Wagner-Straße,10459,6.76,2.48,13.08,26.83,-1.25,-0.3,-0.95,-5.34
Ernst-Reuter-Platz,4788,7.14,2.59,14.77,31.6,-0.73,-0.64,-0.33,-3.12
Lietzensee,6416,5.13,2.1,8.39,14.54,-1.06,-0.32,-0.46,-4.15
Amtsgerichtsplatz,12128,4.82,1.68,7.78,16.43,-1,-0.49,0.58,2.6
Droysenstraße,5426,5.21,1.79,8.07,16.93,-0.79,-0.42,-0.05,-0.28
Karl-August-Platz,12238,5.77,2.42,11.68,25.15,-1.23,-0.53,-0.38,-3.19
Savignyplatz,9491,4.69,1.48,7.22,17.48,-0.6,-0.27,-0.82,-0.22
Hindemithplatz,5981,4.33,1.5,6.42,8.28,-0.16,-0.28,-0.43,-2.37
George-Grosz-Platz,5600,4.21,1.21,5.95,8.55,0.35,-0.51,0.14,-2.3
Breitscheidplatz,3915,4.73,1.28,8.58,16.86,-0.55,-0.61,0.42,1.43
Halensee,14931,4.88,1.82,7.79,16.18,-1,-0.57,-0.41,0.23
Güterbahnhof Grunewald,43,,,,,,,,
Bismarckallee,5156,3.47,1.05,6.26,10,-0.66,-0.53,0.26,1.01
Hundekehle,2739,1.77,0.34,2.81,2.55,-0.71,-0.46,0.57,-0.27
Hagenplatz,3033,3.15,1.01,3.49,6,1.06,0.39,0.82,2.32
Flinsberger Platz,7976,4.95,1.98,7.9,18.37,-0.58,-0.27,-0.49,-0.98
Kissinger Straße,5907,4.52,1.61,6.33,13.25,-0.07,-0.39,-0.3,-0.65
Stadion Wilmersdorf,213,,,,,,,,
Messelpark,1533,2.06,0.48,1.5,2.26,-0.26,0.12,0.66,0.71
Breite Straße,6904,3.04,1.01,4.4,5.5,-0.31,-0.5,0.25,1.17
Schlangenbader Straße,4115,6.33,3.01,10.43,17.51,0.64,0.49,1.09,-3.82
Binger Straße,3547,4.4,1.55,6.48,10.96,-0.53,-0.32,-0.13,-0.24
Rüdesheimer Platz,10642,3.89,1.31,5.92,9.52,-0.59,-0.36,-0.26,-2.78
Eisenzahnstraße,6220,6.23,2.17,10.87,26.97,-1.09,-0.59,0.34,0.74
Preußenpark,10591,4.52,1.69,7.07,12.75,-0.45,-0.35,-0.44,-2.67
Ludwigkirchplatz,5228,5.7,1.94,7.82,15.26,-0.91,-0.46,-0.93,-3.83
Schaperstraße,9067,5.47,2.34,8.43,20.42,-0.68,-0.31,0.61,1.99
Rathaus Wilmersdorf,5348,5.1,2.13,8.92,14.42,-1.74,-0.81,-0.92,-6.39
Leon-Jessel-Platz,5512,5.05,1.85,8.65,18.47,-0.98,-0.5,-1.08,-3.79
Brabanter Platz,4397,5.35,1.96,9.76,22.53,-0.57,-0.38,-1.16,-0.87
Nikolsburger Platz,9700,4.43,1.5,7.43,12.49,-0.68,-0.51,0.33,0.5
Prager Platz,6684,5.39,1.86,7.12,12.19,-1,-0.41,-0.78,-1.68
Wilhelmsaue,3038,5.95,1.69,6.02,7.56,0.2,-0.7,-0.98,-1.98
Babelsberger Straße,7063,5.8,2.52,10.56,19.76,-0.64,0.31,0.25,0.72
Hildegardstraße,7568,4.31,1.38,6.55,12.18,-0.8,-0.43,-0.5,-1.6
Forst Grunewald,83,,,,,,,,
Hakenfelde Nord,10883,5.48,1.8,10.44,26,-0.64,-0.13,-1.21,-2.91
Goltzstraße,5885,8.59,3.07,14.07,41.1,0.36,0.39,0.3,-0.37
Amorbacher Weg,7623,5.84,2.18,8.58,19.26,-0.11,-0.08,0.08,-1.26
Griesingerstraße,3297,11.9,3.53,24.75,57.53,-0.46,-0.32,-0.43,-3.31
