unit,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PC,Y_GE15,F,ITG1	17.6 	17.2 	17.1 	16.4 	17.1 	17.0 	20.5 	22.9 	24.1 	22.7 	24.0 	23.4 
PC,Y_GE15,F,ITG2	14.4 	14.1 	15.8 	16.0 	14.6 	14.6 	15.8 	16.9 	19.0 	18.2 	17.8 	17.1 
PC,Y_GE15,F,ITH1	3.6 	3.3 	3.0 	3.4 	3.2 	3.8 	4.8 	5.0 	4.3 	4.2 	4.1 	3.9 
PC,Y_GE15,F,ITH2	4.8 	4.4 	4.5 	4.6 	5.2 	5.0 	6.8 	7.9 	8.0 	7.3 	7.1 	5.7 
PC,Y_GE15,F,ITH3	6.6 	5.3 	5.1 	6.3 	7.4 	6.3 	7.7 	9.6 	9.8 	8.8 	8.3 	7.9 
PC,Y_GE15,F,ITH4	4.8 	4.7 	6.4 	6.3 	6.6 	6.5 	8.1 	9.2 	8.9 	9.7 	9.5 	8.1 
PC,Y_GE15,F,ITH5	4.4 	3.9 	4.2 	5.5 	6.9 	6.3 	7.8 	9.6 	9.5 	9.1 	8.0 	8.0 
PC,Y_GE15,F,ITI1	7.0 	6.3 	7.2 	7.8 	7.6 	7.7 	9.5 	10.1 	11.8 	9.7 	10.8 	9.4 
PC,Y_GE15,F,ITI2	8.1 	6.9 	6.8 	9.1 	8.5 	8.1 	11.2 	11.5 	12.6 	12.2 	10.6 	11.8 
PC,Y_GE15,F,ITI3	6.5 	5.9 	5.7 	7.3 	6.8 	8.5 	10.6 	12.5 	11.9 	11.1 	11.7 	12.4 
PC,Y_GE15,F,ITI4	9.6 	8.1 	9.6 	10.6 	10.4 	9.7 	11.9 	13.2 	13.2 	12.3 	11.6 	11.6 
PC,Y_GE15,F,LT00	5.6 	4.3 	5.6 	10.5 	14.5 	12.9 	11.6 	: 	: 	: 	: 	: 
PC,Y_GE15,F,LT01	: 	: 	: 	: 	: 	: 	: 	8.0 	6.5 	6.0 	4.8 	3.6 
PC,Y_GE15,F,LT02	: 	: 	: 	: 	: 	: 	: 	11.6 	10.4 	9.1 	7.5 	6.6 
PC,Y_GE15,F,LU00	6.2 	4.7 b	6.0 	6.1 b	5.1 	6.3 	5.9 	6.4 	5.8 	7.3 b	6.6 	5.5 
PC,Y_GE15,F,LV00	6.7 	5.6 	7.1 	14.1 	16.3 	13.8 	14.0 	11.1 	9.8 	8.6 	8.4 	7.7 
PC,Y_GE15,F,ME00	: 	: 	: 	: 	: 	20.1 	20.2 	18.8 	18.2 	17.3 	17.1 	16.9 
PC,Y_GE15,F,MK00	37.2 	35.5 	34.2 	32.8 	32.2 	30.8 	30.3 	29.0 	28.6 	25.1 	22.7 	21.8 
PC,Y_GE15,F,MT00	8.3 	7.9 	6.8 	7.6 	7.1 	7.1 	7.2 	6.1 	5.1 	5.4 	5.2 	4.3 
PC,Y_GE15,F,NL11	7.9 	9.7 	7.5 	7.6 	6.9 	7.0 	8.0 	8.2 	7.8 	7.9 	7.7 	7.4 
PC,Y_GE15,F,NL12	6.1 	5.0 	4.5 	5.3 	6.0 	5.8 	6.2 	8.7 	7.7 	7.6 	6.2 	6.2 
PC,Y_GE15,F,NL13	7.0 	5.9 	5.2 	4.8 	5.4 	6.4 	7.5 	7.2 	7.4 	7.5 	7.7 	5.8 
PC,Y_GE15,F,NL21	6.2 	5.1 	4.5 	4.5 	5.6 	5.5 	5.9 	7.1 	7.1 	7.1 	7.1 	5.6 
PC,Y_GE15,F,NL22	4.9 	4.3 	4.2 	4.4 	5.1 	4.9 	6.0 	6.3 	7.0 	6.7 	6.1 	5.0 
PC,Y_GE15,F,NL23	9.5 	7.0 	5.0 	5.1 	6.2 	5.9 	7.9 	11.4 	12.2 	9.2 	8.4 	6.3 
PC,Y_GE15,F,NL31	5.0 	4.3 	3.5 	4.5 	4.7 	4.7 	5.9 	6.2 	6.4 	6.9 	5.1 	4.8 
PC,Y_GE15,F,NL32	6.0 	4.8 	4.3 	4.7 	5.2 	5.3 	5.7 	7.1 	7.4 	6.5 	6.0 	4.6 
PC,Y_GE15,F,NL33	6.9 	5.5 	4.7 	5.4 	6.1 	5.7 	7.2 	8.2 	9.2 	8.6 	7.5 	6.0 
PC,Y_GE15,F,NL34	4.9 	3.3 	3.1 	2.9 u	3.7 	4.0 	4.3 	4.9 	4.4 	5.3 	4.8 	3.2 
PC,Y_GE15,F,NL41	5.3 	4.7 	4.1 	4.6 	5.4 	5.3 	5.7 	6.8 	7.6 	7.2 	6.1 	4.5 
PC,Y_GE15,F,NL42	7.6 	6.6 	5.2 	5.4 	6.1 	5.6 	5.4 	7.4 	7.7 	6.3 	6.3 	5.2 
PC,Y_GE15,F,NO01	3.1 b	2.2 	2.6 	3.0 	3.3 	3.0 	2.4 	3.9 	3.5 	4.6 	4.1 	4.1 
PC,Y_GE15,F,NO02	3.4 b	2.1 u	2.4 	2.1 u	1.9 u	2.4 	2.2 	2.8 	2.4 	4.1 	3.3 	3.0 
PC,Y_GE15,F,NO03	4.2 b	2.7 	2.5 	2.5 	3.3 	3.5 	3.2 	3.5 	3.7 	4.2 	4.7 	3.8 
PC,Y_GE15,F,NO04	3.3 b	2.2 	1.7 	1.7 	2.0 	2.3 	2.8 	2.9 	2.7 	4.2 	4.6 	4.6 
PC,Y_GE15,F,NO05	3.1 b	2.5 	2.0 	2.3 	3.0 	3.1 	2.5 	2.9 	3.0 	3.7 	3.5 	3.1 
PC,Y_GE15,F,NO06	3.2 b	3.0 	3.6 	3.4 	3.3 	3.5 	2.6 	2.5 	3.5 	3.5 	3.8 	3.4 
PC,Y_GE15,F,NO07	2.9 b	2.5 	2.1 	3.4 	3.3 	2.8 	2.4 	3.0 	3.4 	2.4 	2.2 	3.1 
PC,Y_GE15,F,PL21	12.5 	9.5 	7.2 	8.3 	9.8 b	10.2 	11.7 	11.6 	9.8 	7.4 	5.6 b	3.4 
PC,Y_GE15,F,PL22	17.0 	8.9 	7.5 	7.8 	10.5 b	10.9 	10.7 	11.1 	9.4 	7.4 	5.6 b	4.0 
PC,Y_GE15,F,PL41	15.6 	10.3 	8.0 	9.5 	10.1 b	10.5 	10.9 	11.4 	9.4 	6.7 	5.3 b	3.2 
PC,Y_GE15,F,PL42	18.0 	12.5 	10.2 	10.8 	11.5 b	11.7 	10.6 	9.5 	7.9 	7.5 	7.3 b	4.3 u
PC,Y_GE15,F,PL43	14.8 	10.4 	7.3 u	9.3 	10.8 b	9.8 	9.9 	10.7 	9.2 	6.6 u	5.0 bu	3.5 u
PC,Y_GE15,F,PL51	17.8 	14.1 	10.3 	10.3 	11.4 b	10.5 	11.6 	12.2 	9.5 	7.3 	5.7 b	5.5 
PC,Y_GE15,F,PL52	15.1 	10.5 	7.3 u	10.7 	10.5 b	10.4 	10.5 	10.5 	9.0 	7.3 u	5.4 bu	5.0 u
PC,Y_GE15,F,PL61	18.1 	12.8 	10.2 	10.6 	11.8 b	13.0 	13.8 	14.3 	12.5 	8.9 	7.8 b	5.3 
PC,Y_GE15,F,PL62	19.1 	12.2 	9.0 	10.0 	10.7 b	11.6 	12.3 	12.3 	10.0 	10.5 	8.8 b	7.9 
PC,Y_GE15,F,PL63	14.7 	9.4 	6.7 	6.8 	9.5 b	9.1 	10.6 	10.2 	8.5 	6.2 	6.1 b	4.4 
PC,Y_GE15,F,PL71	13.5 	9.2 	7.5 	8.1 	9.6 b	9.7 	11.3 	11.7 	9.2 	7.7 	5.5 b	4.3 
PC,Y_GE15,F,PL72	15.5 	12.2 	8.8 	10.0 	11.9 b	13.9 	13.7 	13.5 	10.6 	9.8 	8.8 b	6.7 
PC,Y_GE15,F,PL81	13.1 	9.4 	8.8 	9.2 	9.4 b	10.1 	10.4 	10.6 	10.6 	9.5 	7.5 b	6.7 
PC,Y_GE15,F,PL82	14.8 	9.9 	9.0 	11.0 	12.2 b	13.6 	14.0 	14.5 	14.6 	12.4 	9.4 b	9.2 
PC,Y_GE15,F,PL84	12.0 	9.0 	6.6 	7.1 	9.5 b	9.5 	9.7 	10.1 	9.6 	6.8 	6.8 b	5.3 u
PC,Y_GE15,F,PL91	: 	: 	: 	: 	: 	: 	: 	6.0 	6.1 	4.9 	3.8 b	3.3 
PC,Y_GE15,F,PL92	: 	: 	: 	: 	: 	: 	: 	11.3 	10.0 	7.9 	6.9 b	6.7 
PC,Y_GE15,F,PT11	10.8 	11.9 	9.9 	12.2 	14.7 	14.4 b	16.8 	18.0 	16.1 	14.3 	12.6 	10.7 
PC,Y_GE15,F,PT15	6.8 	7.2 	9.0 	11.6 	13.6 	14.8 b	16.9 	15.8 	14.0 	11.6 	8.4 	6.9 
PC,Y_GE15,F,PT16	6.7 	7.5 	6.9 	7.1 	8.5 	10.9 b	12.7 	11.8 	11.0 	9.8 	8.9 	7.4 
PC,Y_GE15,F,PT17	8.8 	8.6 	8.4 	9.9 	11.4 	12.9 b	15.8 	17.9 	14.7 	13.0 	11.2 	9.7 
PC,Y_GE15,F,PT18	10.4 	10.9 	11.6 	11.9 	13.5 	13.4 b	16.7 	18.1 	14.3 	14.4 	13.1 	8.9 
PC,Y_GE15,F,PT20	: u	: u	: u	: u	: u	10.8 b	13.5 	13.7 	16.5 	10.8 	9.8 	8.2 
PC,Y_GE15,F,PT30	: u	: u	: u	: u	: u	12.0 b	14.8 	16.6 	14.1 	14.0 	11.9 	10.5 
PC,Y_GE15,F,RO11	5.9 	3.6 	2.8 	5.1 	6.1 b	4.9 	4.4 	4.2 	3.9 	4.5 	3.5 	3.2 
PC,Y_GE15,F,RO12	8.0 	7.0 	7.0 	8.8 	9.7 b	10.1 	9.1 	8.8 	9.4 	6.9 	4.1 	3.1 
PC,Y_GE15,F,RO21	4.1 	3.9 	3.5 	5.0 	5.0 b	4.3 	3.4 	3.9 	3.3 	3.3 	2.8 	2.3 
PC,Y_GE15,F,RO22	8.2 	8.2 	6.1 	6.7 	7.5 b	8.7 	8.4 	8.1 	9.4 	8.2 	6.5 	5.2 
PC,Y_GE15,F,RO31	8.0 	7.3 	6.5 	8.0 	7.4 b	9.8 	9.1 	8.8 	8.1 	9.3 	9.1 	6.3 
PC,Y_GE15,F,RO32	4.5 	3.4 	2.5 	3.6 	4.1 b	5.3 	5.9 	7.2 	7.0 	4.2 	3.8 	3.2 
PC,Y_GE15,F,RO41	5.3 	5.5 	4.6 	4.7 	4.9 b	4.3 	4.0 	4.9 	4.7 	6.7 	7.3 	6.9 
PC,Y_GE15,F,RO42	5.2 	4.8 	4.5 	4.5 	5.5 b	5.2 	5.5 	5.4 	4.1 	5.0 	3.6 u	2.8 u
PC,Y_GE15,F,RS11	: 	: 	: 	: 	: 	: 	: 	18.0 	17.3 b	19.2 	15.4 	13.0 
PC,Y_GE15,F,RS12	: 	: 	: 	: 	: 	: 	: 	25.3 	19.3 b	16.5 	15.9 	12.9 
PC,Y_GE15,F,RS21	: 	: 	: 	: 	: 	: 	: 	25.1 	20.7 b	18.6 	16.1 	15.0 
PC,Y_GE15,F,RS22	: 	: 	: 	: 	: 	: 	: 	26.4 	25.0 b	21.1 	17.4 	16.7 
PC,Y_GE15,F,SE11	5.9 	5.9 	5.3 	6.5 	7.5 	6.7 	6.8 	6.9 	7.2 	7.3 	6.7 	6.5 
PC,Y_GE15,F,SE12	7.5 	7.0 	7.8 	9.4 	10.0 	8.6 	8.4 	8.7 	8.3 	7.8 	7.4 	7.4 
PC,Y_GE15,F,SE21	6.2 	5.5 	5.4 	7.1 	7.8 	7.3 	7.5 	7.0 	6.4 	5.7 	6.3 	5.5 
PC,Y_GE15,F,SE22	9.2 	7.6 	8.3 	8.6 	8.8 	9.1 	9.2 	9.5 	9.2 	9.1 	7.1 	7.4 
PC,Y_GE15,F,SE23	7.3 	6.2 	6.0 	8.3 	8.3 	7.3 	7.2 	7.9 	7.6 	6.6 	5.8 	5.7 
PC,Y_GE15,F,SE31	7.7 	6.6 	7.5 	9.0 	9.0 	8.5 	8.4 	9.0 	8.3 	7.0 	6.7 	6.5 
PC,Y_GE15,F,SE32	7.0 	6.9 	6.9 	7.4 	10.0 	8.1 	7.0 	6.3 	7.2 	7.2 	6.7 	5.7 
PC,Y_GE15,F,SE33	7.9 	5.9 	5.9 	7.9 	8.3 	6.9 	6.8 	6.0 	6.4 	6.4 	5.0 	4.8 
PC,Y_GE15,F,SI01	9.0 	7.1 	6.2 	7.4 	: 	: 	: 	: 	: 	: 	: 	: 
PC,Y_GE15,F,SI02	5.2 	4.4 	3.3 	4.0 	: 	: 	: 	: 	: 	: 	: 	: 
PC,Y_GE15,F,SI03	: 	: 	: 	: 	8.0 	9.6 	10.6 	12.4 	12.5 	11.9 	10.2 	8.2 
PC,Y_GE15,F,SI04	: 	: 	: 	: 	5.9 	6.5 	8.0 	9.2 	8.4 	8.0 	6.8 	6.6 
PC,Y_GE15,F,SK01	4.4 	4.9 	3.4 	3.8 	5.1 	5.0 b	5.8 	6.5 	6.4 	6.2 	6.6 	3.5 
PC,Y_GE15,F,SK02	11.1 	9.2 	8.5 	11.5 	13.9 	11.9 b	13.0 	13.2 	11.6 	11.4 	8.8 	6.2 
PC,Y_GE15,F,SK03	19.1 	18.6 	14.1 	15.4 	16.8 	15.3 b	15.5 	16.0 	16.1 	13.9 	11.0 	9.7 
PC,Y_GE15,F,SK04	20.7 	15.9 	15.3 	17.0 	18.3 	18.6 b	19.9 	18.6 	17.3 	17.0 	15.1 	12.6 
PC,Y_GE15,F,TR10	12.6 	11.8 	11.9 	18.9 	16.5 	14.5 	13.6 	13.9 	15.6 b	17.0 	17.2 	18.4 
PC,Y_GE15,F,TR21	9.7 	8.5 	13.0 	15.5 	10.7 	12.6 	9.9 	9.6 	11.4 b	11.1 	11.9 	13.1 
PC,Y_GE15,F,TR22	5.4 	6.5 	7.4 	8.2 	6.2 	5.1 	5.8 	6.7 	6.4 b	6.6 	10.0 	9.1 
PC,Y_GE15,F,TR31	11.8 	11.7 	13.2 	16.9 	18.0 	19.7 	18.8 	20.8 	19.9 b	20.4 	19.0 	18.7 
PC,Y_GE15,F,TR32	6.1 	9.6 	11.1 	16.3 	12.3 	8.9 	7.9 	7.5 	8.0 b	8.1 	8.6 	9.5 
PC,Y_GE15,F,TR33	6.2 	4.6 	6.6 	8.5 	6.6 	4.4 	3.9 	6.1 	5.2 b	4.5 	7.5 	8.4 
PC,Y_GE15,F,TR41	9.1 	7.2 	12.2 	15.0 	10.5 	9.3 	9.6 	8.7 	8.8 b	10.3 	11.8 	12.3 
PC,Y_GE15,F,TR42	13.6 	13.0 	12.1 	15.1 	13.7 	13.4 	11.6 	12.4 	13.6 b	13.6 	14.8 	14.9 
PC,Y_GE15,F,TR51	16.3 	15.9 	14.9 	14.6 	14.1 	10.8 	12.1 	14.6 	16.9 b	17.3 	16.4 	15.4 
PC,Y_GE15,F,TR52	14.3 	12.4 	11.9 	9.5 	7.8 	6.8 	6.5 	4.4 	7.2 b	9.3 	8.9 	6.8 
PC,Y_GE15,F,TR61	6.0 	6.1 	9.9 	11.6 	11.1 	10.7 	9.2 	9.0 	11.4 b	12.7 	15.7 	15.7 
PC,Y_GE15,F,TR62	18.0 	17.5 	17.7 	23.2 	17.0 	11.6 	11.2 	15.0 	13.9 b	13.5 	13.0 	14.4 
PC,Y_GE15,F,TR63	8.1 	6.1 	12.5 	11.4 	9.4 	8.6 	7.7 	10.0 	18.1 b	22.1 	19.8 	15.4 
PC,Y_GE15,F,TR71	9.2 	6.6 	5.6 	8.7 	7.5 	6.9 	5.5 	5.9 	7.0 b	13.4 	19.9 	18.4 
PC,Y_GE15,F,TR72	14.3 	13.7 	10.6 	11.3 	16.9 	10.8 	6.6 	9.5 	11.8 b	12.3 	11.3 	17.7 
PC,Y_GE15,F,TR81	3.4 	4.5 	3.6 	5.0 	8.6 	6.7 	7.3 	8.0 	6.4 b	8.9 	11.1 	8.3 
PC,Y_GE15,F,TR82	4.1 	2.9 	4.5 	9.4 	9.7 	6.0 	5.0 	7.5 	8.2 b	8.2 	6.7 	5.8 
PC,Y_GE15,F,TR83	4.4 	6.5 	4.9 	4.9 	5.6 	5.2 	5.8 	6.6 	6.4 b	7.6 	9.5 	8.6 
PC,Y_GE15,F,TR90	3.4 	3.3 	4.0 	3.3 	3.1 	3.9 	3.0 	4.6 	6.1 b	4.5 	4.4 	3.9 
PC,Y_GE15,F,TRA1	1.1 u	2.5 u	2.5 	2.6 	2.9 	2.5 	3.1 	4.1 	4.9 b	2.8 	3.2 	5.1 
PC,Y_GE15,F,TRA2	1.9 u	1.9 u	0.7 u	2.0 u	2.5 u	2.7 	2.2 	4.0 	1.2 bu	3.3 	5.3 	4.8 
PC,Y_GE15,F,TRB1	8.3 	9.4 	13.2 	11.4 	9.6 	7.3 	5.5 	5.1 	9.6 b	9.1 	11.4 	11.1 
PC,Y_GE15,F,TRB2	2.4 u	5.9 	6.9 	6.4 	11.3 	7.7 	3.6 	3.6 	6.6 b	3.6 	4.6 	9.8 
PC,Y_GE15,F,TRC1	4.6 	8.7 	5.2 	7.9 	8.8 	11.4 	9.0 	6.3 	7.9 b	10.4 	19.2 	17.5 
PC,Y_GE15,F,TRC2	4.4 u	6.6 	3.4 u	7.6 	2.5 u	1.9 u	: u	10.9 	10.5 b	11.6 	12.2 	11.2 
PC,Y_GE15,F,TRC3	15.3 	20.5 	10.5 u	9.6 	6.1 	8.6 	16.1 	17.5 	24.5 b	25.2 	32.9 	36.2 
PC,Y_GE15,F,UKC1	4.5 	3.6 bu	7.3 b	7.4 	8.0 	10.8 	10.7 	10.9 	10.6 	8.2 	6.9 	4.3 
PC,Y_GE15,F,UKC2	5.7 	5.7 b	6.3 b	6.9 	8.1 	9.1 	6.8 	8.2 	7.7 	6.7 	6.2 	5.5 
PC,Y_GE15,F,UKD1	4.3 u	3.7 bu	: bu	5.5 u	6.0 u	6.4 u	6.0 u	4.4 u	4.0 u	4.1 u	: u	: u
PC,Y_GE15,F,UKD3	4.8 	4.7 b	6.7 b	8.2 	8.0 	8.3 	8.5 	7.9 	7.4 	6.5 	5.6 	3.7 
PC,Y_GE15,F,UKD4	4.3 	5.5 b	4.5 b	5.4 	4.8 	5.8 	6.0 	7.3 	5.4 	5.2 	3.2 	3.6 
PC,Y_GE15,F,UKD6	2.8 u	2.2 bu	3.6 bu	6.6 	5.2 	5.3 	5.5 	5.4 	3.6 u	4.2 u	3.9 u	3.0 u
PC,Y_GE15,F,UKD7	5.4 	6.5 b	7.1 b	5.8 	7.6 	9.1 	8.7 	7.6 	6.6 	4.6 	4.2 	5.0 
PC,Y_GE15,F,UKE1	5.6 	4.7 bu	4.7 bu	7.0 	7.4 	7.4 	8.1 	8.3 	8.7 	7.3 	5.4 	3.8 u
PC,Y_GE15,F,UKE2	2.3 u	3.3 bu	: bu	4.2 u	5.5 	6.5 	4.0 u	2.9 u	4.6 u	2.1 u	3.1 u	3.7 u
PC,Y_GE15,F,UKE3	6.2 	4.0 b	6.9 b	7.6 	7.2 	8.9 	8.8 	10.6 	9.9 	6.6 	6.0 	5.3 
PC,Y_GE15,F,UKE4	4.8 	5.3 b	5.9 b	7.6 	8.3 	7.7 	8.7 	7.9 	6.5 	5.6 	5.2 	4.1 
PC,Y_GE15,F,UKF1	5.2 	6.1 b	5.0 b	5.6 	8.3 	9.1 	8.0 	6.4 	4.7 	4.4 	4.2 	3.6 
PC,Y_GE15,F,UKF2	4.6 	4.5 b	5.3 b	6.3 	6.8 	8.1 	7.7 	8.0 	6.0 	4.3 	4.9 	4.6 
PC,Y_GE15,F,UKF3	5.1 u	5.8 bu	7.3 b	6.5 	4.6 u	5.9 u	7.4 	5.6 u	4.2 u	4.9 u	5.4 u	3.4 u
PC,Y_GE15,F,UKG1	3.7 	4.3 b	4.2 b	5.3 	4.9 	5.4 	4.0 	4.2 	4.6 	3.7 	4.0 	3.0 u
PC,Y_GE15,F,UKG2	4.1 	4.8 b	3.8 b	5.7 	6.6 	7.1 	6.3 	5.5 	4.9 	4.6 	3.8 	5.6 
PC,Y_GE15,F,UKG3	7.3 	7.4 b	7.5 b	9.9 	9.6 	10.4 	11.3 	12.9 	8.5 	7.2 	8.0 	7.0 
PC,Y_GE15,F,UKH1	4.7 	4.6 b	4.3 b	5.3 	5.7 	5.6 	5.8 	5.3 	4.6 	4.5 	3.8 	3.5 
PC,Y_GE15,F,UKH2	4.5 	4.6 b	4.2 b	4.7 	6.1 	6.9 	6.6 	6.1 	3.4 	2.7 	4.1 	3.5 
PC,Y_GE15,F,UKH3	4.7 	5.3 b	4.7 b	7.3 	6.7 	6.3 	7.2 	6.4 	6.2 	4.3 	4.4 	4.2 
PC,Y_GE15,F,UKI1	8.8 	8.0 b	8.3 b	9.8 	: 	: 	: 	: 	: 	: 	: 	: 
PC,Y_GE15,F,UKI2	7.0 	6.0 b	6.5 b	8.5 	: 	: 	: 	: 	: 	: 	: 	: 
PC,Y_GE15,F,UKI3	: 	: 	: 	: 	8.6 	8.5 	5.4 	6.3 	5.8 	5.6 	5.3 	7.3 
PC,Y_GE15,F,UKI4	: 	: 	: 	: 	11.2 	11.9 	10.5 	10.1 	8.0 	7.2 	8.6 	5.5 
PC,Y_GE15,F,UKI5	: 	: 	: 	: 	10.0 	10.9 	10.1 	9.8 	9.1 	9.2 	5.7 	6.3 
PC,Y_GE15,F,UKI6	: 	: 	: 	: 	6.4 	8.3 	6.8 	7.3 	6.8 	5.4 	4.2 	4.4 
PC,Y_GE15,F,UKI7	: 	: 	: 	: 	8.1 	7.9 	10.5 	8.9 	6.2 	5.2 	5.0 	5.1 
PC,Y_GE15,F,UKJ1	3.8 	3.9 b	3.9 b	4.6 	5.5 	5.7 	6.3 	4.6 	4.7 	3.7 	2.9 	2.9 
PC,Y_GE15,F,UKJ2	4.1 	4.0 b	4.2 b	4.9 	5.3 	5.0 	6.2 	5.5 	4.9 	3.6 	3.6 	3.3 
PC,Y_GE15,F,UKJ3	4.2 	3.7 b	3.5 b	5.3 	5.1 	5.0 	6.3 	5.4 	4.2 	3.8 	4.3 	3.3 
PC,Y_GE15,F,UKJ4	5.3 	5.4 b	5.1 b	5.4 	5.9 	8.4 	7.9 	6.9 	5.7 	6.2 	4.1 	3.9 
PC,Y_GE15,F,UKK1	3.2 	3.6 b	3.4 b	4.8 	5.2 	5.7 	5.4 	5.7 	4.5 	3.9 	3.2 	4.2 
PC,Y_GE15,F,UKK2	3.6 u	3.5 bu	3.7 b	5.2 	5.0 	6.2 	4.2 	4.9 	3.1 u	4.3 	4.7 	2.8 u
PC,Y_GE15,F,UKK3	4.2 u	4.0 bu	5.9 bu	4.9 u	9.0 	5.5 u	3.7 u	4.9 u	: u	3.9 u	3.4 u	: u
PC,Y_GE15,F,UKK4	4.4 	4.4 b	3.1 bu	5.9 	5.3 	5.0 	6.2 	6.2 	5.2 	4.7 	3.6 u	4.6 
PC,Y_GE15,F,UKL1	4.4 	5.6 b	5.2 b	6.7 	7.3 	7.7 	8.5 	7.1 	5.6 	5.8 	4.3 	4.5 
PC,Y_GE15,F,UKL2	4.6 	4.9 b	4.9 b	5.7 	6.6 	4.7 	7.9 	7.3 	5.6 	2.8 u	2.9 u	3.8 
PC,Y_GE15,F,UKM2	5.4 	5.4 b	4.4 b	6.5 	7.0 	5.3 	7.6 	: 	: 	: 	: 	: 
PC,Y_GE15,F,UKM3	4.8 	4.7 b	4.7 b	5.4 	7.9 	9.0 	8.1 	: 	: 	: 	: 	: 
PC,Y_GE15,F,UKM5	: u	3.8 bu	: bu	4.4 u	4.0 u	5.0 u	5.0 u	5.6 u	4.7 u	3.0 u	5.0 u	3.9 u
PC,Y_GE15,F,UKM6	: u	: bu	: bu	4.9 u	5.6 u	6.7 	5.5 u	: u	: u	: u	: u	: u
PC,Y_GE15,F,UKM7	: 	: 	: 	: 	: 	: 	: 	7.1 	5.0 	5.6 	3.9 	3.1 
PC,Y_GE15,F,UKM8	: 	: 	: 	: 	: 	: 	: 	7.4 	6.5 	6.0 	4.9 	4.4 
PC,Y_GE15,F,UKM9	: 	: 	: 	: 	: 	: 	: 	7.4 	4.4 	5.0 	4.9 	4.1 u
PC,Y_GE15,F,UKN0	3.3 	3.4 b	2.7 b	4.2 	4.5 	5.2 	5.2 	5.2 	4.8 	5.1 	4.4 	3.2 
PC,Y_GE15,M,AT11	4.5 u	: bu	: u	4.6 u	: u	: u	4.3 u	4.1 u	4.8 u	4.7 u	5.6 u	4.7 u
PC,Y_GE15,M,AT12	4.2 	3.6 b	3.2 	4.8 	4.1 	4.5 	4.5 	4.8 	5.2 	5.5 	5.7 	5.3 
PC,Y_GE15,M,AT13	10.5 	9.7 b	7.7 	9.8 	9.2 	8.6 	9.9 	9.8 	11.2 	12.2 	12.8 	11.7 
PC,Y_GE15,M,AT21	3.8 u	3.5 bu	3.0 u	4.5 	4.2 	4.0 u	4.9 	5.3 	6.1 	6.2 	4.9 	4.8 
PC,Y_GE15,M,AT22	3.7 	3.7 b	3.7 	5.3 	4.3 	3.6 	3.7 	4.5 	4.9 	4.7 	5.1 	4.9 
PC,Y_GE15,M,AT31	3.1 	2.5 b	2.3 	4.0 	4.0 	3.2 	3.3 	4.3 	3.8 	4.2 	4.6 	4.2 
PC,Y_GE15,M,AT32	3.1 u	3.4 bu	2.5 u	3.4 u	2.7 u	2.6 u	2.9 u	3.5 u	3.7 u	3.6 u	3.9 u	3.4 u
PC,Y_GE15,M,AT33	2.8 u	2.4 bu	2.3 u	3.2 	3.4 	2.6 u	2.5 u	2.9 u	3.6 	3.0 	3.6 	2.7 u
PC,Y_GE15,M,AT34	4.0 u	3.1 bu	3.6 u	5.5 u	4.4 u	3.3 u	3.5 u	3.7 u	3.5 u	3.3 u	3.3 u	3.8 u
PC,Y_GE15,M,BE10	17.1 	17.1 	15.4 	15.8 	16.8 	18.1 b	17.9 	21.0 	20.1 	18.5 	17.4 	14.9 b
PC,Y_GE15,M,BE21	5.3 	4.5 	4.5 	5.5 	6.3 	5.9 b	5.6 	6.2 	6.0 	6.5 	6.4 	5.2 b
PC,Y_GE15,M,BE22	4.3 	3.6 	3.7 	5.4 	5.4 	4.0 b	4.2 	5.6 	5.9 	7.1 	4.5 	3.7 b
PC,Y_GE15,M,BE23	4.1 	4.3 	3.4 	4.1 	5.7 	3.6 b	3.8 	4.0 	4.3 	4.8 	4.3 	3.3 b
PC,Y_GE15,M,BE24	3.6 	3.4 	4.4 	5.2 	4.7 	3.2 b	4.6 	5.1 	5.1 	5.3 	5.2 	4.3 b
PC,Y_GE15,M,BE25	3.7 	2.5 	2.3 	4.5 	3.2 	3.3 b	3.9 	4.1 	4.2 	4.9 	3.9 	2.9 b
PC,Y_GE15,M,BE31	6.6 	6.2 	6.2 	6.6 	7.7 	6.3 b	6.2 	8.6 	8.5 	7.9 	7.6 	8.4 b
PC,Y_GE15,M,BE32	12.5 	10.3 	9.9 	12.3 	12.9 	10.7 b	11.9 	13.5 	16.1 	14.4 	12.3 	11.9 b
PC,Y_GE15,M,BE33	10.1 	9.6 	9.7 	11.6 	11.5 	9.4 b	11.5 	11.3 	13.2 	13.1 	11.4 	11.4 b
PC,Y_GE15,M,BE34	6.5 u	5.8 u	6.4 u	7.0 u	7.1 u	5.0 bu	7.7 	7.5 	7.7 	8.5 	6.8 u	6.9 bu
PC,Y_GE15,M,BE35	9.9 	7.4 	7.7 	9.1 	8.6 	8.0 b	7.0 	10.1 	8.5 	11.2 	9.8 	8.3 b
PC,Y_GE15,M,BG31	10.6 	8.7 	7.6 b	8.3 	12.4 b	14.0 b	13.3 	16.0 	16.6 	13.5 	10.7 	12.0 
